"Dataset","RemoveNoComparator","AnalysisCondition","EligibleRTs","NoOtherItemComparator","ParticipantAndItemRatio","ParticipantOnlyRatio","IterativeRemoved","CutoffRemoved","TotalRemoved","RetainedRTs"
"fujita2024memoryEx1",TRUE,"fq1",51775,289,87,0,376,1,377,51398
"fujita2024memoryEx1",TRUE,"fq2",51650,351,103,0,454,1,455,51195
"fujita2024memoryEx1",TRUE,"fq3",51614,317,103,0,420,2,422,51192
"fujita2024memoryEx1",TRUE,"fq4",50053,336,97,0,433,2,435,49618
"fujita2024memoryEx1",FALSE,"fq1",51775,0,87,0,87,1,88,51687
"fujita2024memoryEx1",FALSE,"fq2",51650,0,102,0,102,1,103,51547
"fujita2024memoryEx1",FALSE,"fq3",51614,0,103,0,103,2,105,51509
"fujita2024memoryEx1",FALSE,"fq4",50053,0,97,0,97,2,99,49954
"fujita2024memoryEx2",TRUE,"fq1",51018,342,95,0,437,3,440,50578
"fujita2024memoryEx2",TRUE,"fq2",51213,317,109,0,426,7,433,50780
"fujita2024memoryEx2",TRUE,"fq3",50514,338,125,0,463,5,468,50046
"fujita2024memoryEx2",TRUE,"fq4",51732,326,102,0,428,5,433,51299
"fujita2024memoryEx2",FALSE,"fq1",51018,0,95,0,95,3,98,50920
"fujita2024memoryEx2",FALSE,"fq2",51213,0,109,0,109,7,116,51097
"fujita2024memoryEx2",FALSE,"fq3",50514,0,125,0,125,5,130,50384
"fujita2024memoryEx2",FALSE,"fq4",51732,0,102,0,102,5,107,51625
"fujita2025lmaze",TRUE,"gp1",4278,34,28,0,62,0,62,4216
"fujita2025lmaze",TRUE,"gp2",4241,35,18,0,53,0,53,4188
"fujita2025lmaze",TRUE,"gp3",4250,40,27,0,67,0,67,4183
"fujita2025lmaze",TRUE,"gp4",4325,39,33,0,72,0,72,4253
"fujita2025lmaze",FALSE,"gp1",4278,0,28,0,28,0,28,4250
"fujita2025lmaze",FALSE,"gp2",4241,0,18,0,18,0,18,4223
"fujita2025lmaze",FALSE,"gp3",4250,0,27,0,27,0,27,4223
"fujita2025lmaze",FALSE,"gp4",4325,0,33,0,33,0,33,4292
"fujita2026ex1",TRUE,"ca1",18280,327,62,0,389,0,389,17891
"fujita2026ex1",TRUE,"ca2",18446,332,71,0,403,0,403,18043
"fujita2026ex1",TRUE,"ca3",19263,337,70,0,407,0,407,18856
"fujita2026ex1",TRUE,"ca4",19464,326,84,0,410,0,410,19054
"fujita2026ex1",FALSE,"ca1",18280,0,62,0,62,0,62,18218
"fujita2026ex1",FALSE,"ca2",18446,0,71,0,71,0,71,18375
"fujita2026ex1",FALSE,"ca3",19263,0,70,0,70,0,70,19193
"fujita2026ex1",FALSE,"ca4",19464,0,84,0,84,0,84,19380
"fujita2026ex2",TRUE,"ca1",14647,107,49,0,156,0,156,14491
"fujita2026ex2",TRUE,"ca2",16038,95,36,0,131,0,131,15907
"fujita2026ex2",FALSE,"ca1",14647,0,49,0,49,0,49,14598
"fujita2026ex2",FALSE,"ca2",16038,0,36,0,36,0,36,16002
"fujita2026ex3",TRUE,"ca1",11246,142,64,0,206,2,208,11038
"fujita2026ex3",TRUE,"ca2",12088,148,70,0,218,1,219,11869
"fujita2026ex3",TRUE,"ca3",7578,279,42,0,321,0,321,7257
"fujita2026ex3",TRUE,"ca4",8453,278,38,0,316,0,316,8137
"fujita2026ex3",FALSE,"ca1",11246,0,64,0,64,2,66,11180
"fujita2026ex3",FALSE,"ca2",12088,0,70,0,70,1,71,12017
"fujita2026ex3",FALSE,"ca3",7578,0,42,0,42,0,42,7536
"fujita2026ex3",FALSE,"ca4",8453,0,38,0,38,0,38,8415
"fujitayoshida2024ex1",TRUE,"Expt2-E",9011,227,51,0,278,2,280,8731
"fujitayoshida2024ex1",TRUE,"Expt2-F",9027,245,55,0,300,0,300,8727
"fujitayoshida2024ex1",TRUE,"Expt2-G",9023,219,46,0,265,0,265,8758
"fujitayoshida2024ex1",TRUE,"Expt2-H",9213,219,44,0,263,1,264,8949
"fujitayoshida2024ex1",FALSE,"Expt2-E",9011,0,51,0,51,2,53,8958
"fujitayoshida2024ex1",FALSE,"Expt2-F",9027,0,55,0,55,0,55,8972
"fujitayoshida2024ex1",FALSE,"Expt2-G",9023,0,45,0,45,0,45,8978
"fujitayoshida2024ex1",FALSE,"Expt2-H",9213,0,44,0,44,1,45,9168
"fujitayoshida2024ex2",TRUE,"cond1",14801,191,58,0,249,2,251,14550
"fujitayoshida2024ex2",TRUE,"cond2",15048,200,65,0,265,4,269,14779
"fujitayoshida2024ex2",TRUE,"cond3",14861,227,40,0,267,0,267,14594
"fujitayoshida2024ex2",TRUE,"cond4",15323,209,63,0,272,0,272,15051
"fujitayoshida2024ex2",FALSE,"cond1",14801,0,57,0,57,2,59,14742
"fujitayoshida2024ex2",FALSE,"cond2",15048,0,64,0,64,4,68,14980
"fujitayoshida2024ex2",FALSE,"cond3",14861,0,40,0,40,0,40,14821
"fujitayoshida2024ex2",FALSE,"cond4",15323,0,63,0,63,0,63,15260
