Condition,Item,Word,RT,Subject,phrase_g,grammaticality_g,distractor_g,region_g,grammaticality,distractor
fq2,34,0,1198,1,The,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,34,1,1139,1,boy(s),Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,34,2,692,1,who,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,34,3,947,1,saw,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,34,4,826,1,the,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,34,5,1005,1,girl(s),Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,34,6,823,1,quite,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,34,7,837,1,"recently,",Grammatical,Pluarl distractor,pre-critical,-0.5,-0.5
fq2,34,8,883,1,all,Grammatical,Pluarl distractor,critical,-0.5,-0.5
fq2,34,9,1092,1,walked,Grammatical,Pluarl distractor,spillover,-0.5,-0.5
fq2,34,10,806,1,back,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,34,11,994,1,home,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,34,12,975,1,from,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,34,13,908,1,school.,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq2,34,14,1417,1,NA,Grammatical,Pluarl distractor,null,-0.5,-0.5
fq1,29,0,729,1,The,Grammatical,Singular distractor,null,-0.5,0.5
fq1,29,1,977,1,boy(s),Grammatical,Singular distractor,null,-0.5,0.5
fq1,29,2,742,1,who,Grammatical,Singular distractor,null,-0.5,0.5
fq1,29,3,1009,1,saw,Grammatical,Singular distractor,null,-0.5,0.5
fq1,29,4,660,1,the,Grammatical,Singular distractor,null,-0.5,0.5
fq1,29,5,974,1,girl(s),Grammatical,Singular distractor,null,-0.5,0.5
fq1,29,6,1631,1,quite,Grammatical,Singular distractor,null,-0.5,0.5
fq1,29,7,810,1,"recently,",Grammatical,Singular distractor,pre-critical,-0.5,0.5
fq1,29,8,984,1,all,Grammatical,Singular distractor,critical,-0.5,0.5
