Subject,Condition,Item,Word,wd,RT,region_g,ambiguity_g,gender_g,ambiguity,gender
1,gp1,1,0,After,778,others,Ambiguous,Gender match,1,-1
1,gp1,1,1,the,528,others,Ambiguous,Gender match,1,-1
1,gp1,1,2,neighbour,917,others,Ambiguous,Gender match,1,-1
1,gp1,1,3,visited,727,others,Ambiguous,Gender match,1,-1
1,gp1,1,4,Ken's,669,others,Ambiguous,Gender match,1,-1
1,gp1,1,5,dad,697,Pre-disambiguating region,Ambiguous,Gender match,1,-1
1,gp1,1,6,decided,897,Disambiguating region,Ambiguous,Gender match,1,-1
1,gp1,1,7,to,608,Post-disambiguating region,Ambiguous,Gender match,1,-1
1,gp1,1,8,prepare,779,Pre-reflexive region,Ambiguous,Gender match,1,-1
1,gp1,1,9,himself,936,Reflexive region,Ambiguous,Gender match,1,-1
1,gp1,1,10,a,638,Post-reflexive region,Ambiguous,Gender match,1,-1
1,gp1,1,11,cold,617,others,Ambiguous,Gender match,1,-1
1,gp1,1,12,drink.,619,others,Ambiguous,Gender match,1,-1
1,gp2,2,0,While,657,others,Ambiguous,Gender mismatch,1,1
1,gp2,2,1,the,500,others,Ambiguous,Gender mismatch,1,1
1,gp2,2,2,student,787,others,Ambiguous,Gender mismatch,1,1
1,gp2,2,3,watched,748,others,Ambiguous,Gender mismatch,1,1
1,gp2,2,4,Tom's,618,others,Ambiguous,Gender mismatch,1,1
1,gp2,2,5,sister,659,Pre-disambiguating region,Ambiguous,Gender mismatch,1,1
1,gp2,2,6,started,619,Disambiguating region,Ambiguous,Gender mismatch,1,1
1,gp2,2,7,to,647,Post-disambiguating region,Ambiguous,Gender mismatch,1,1
1,gp2,2,8,prepare,818,Pre-reflexive region,Ambiguous,Gender mismatch,1,1
1,gp2,2,9,himself,978,Reflexive region,Ambiguous,Gender mismatch,1,1
1,gp2,2,10,for,748,Post-reflexive region,Ambiguous,Gender mismatch,1,1
1,gp2,2,11,the,757,others,Ambiguous,Gender mismatch,1,1
1,gp2,2,12,big,1096,others,Ambiguous,Gender mismatch,1,1
1,gp2,2,13,race.,1298,others,Ambiguous,Gender mismatch,1,1
1,gp3,3,0,While,1025,others,Unambiguous,Gender match,-1,-1
1,gp3,3,1,the,558,others,Unambiguous,Gender match,-1,-1
1,gp3,3,2,parent,917,others,Unambiguous,Gender match,-1,-1
1,gp3,3,3,helped%2C,859,others,Unambiguous,Gender match,-1,-1
1,gp3,3,4,Roger's,1155,others,Unambiguous,Gender match,-1,-1
1,gp3,3,5,son,1087,Pre-disambiguating region,Unambiguous,Gender match,-1,-1
1,gp3,3,6,hoped,998,Disambiguating region,Unambiguous,Gender match,-1,-1
1,gp3,3,7,to,758,Post-disambiguating region,Unambiguous,Gender match,-1,-1
1,gp3,3,8,allow,707,Pre-reflexive region,Unambiguous,Gender match,-1,-1
1,gp3,3,9,himself,638,Reflexive region,Unambiguous,Gender match,-1,-1
1,gp3,3,10,some,958,Post-reflexive region,Unambiguous,Gender match,-1,-1
1,gp3,3,11,time,768,others,Unambiguous,Gender match,-1,-1
1,gp3,3,12,to,668,others,Unambiguous,Gender match,-1,-1
1,gp3,3,13,relax.,928,others,Unambiguous,Gender match,-1,-1
1,gp4,4,0,Before,735,others,Unambiguous,Gender mismatch,-1,1
1,gp4,4,1,the,491,others,Unambiguous,Gender mismatch,-1,1
1,gp4,4,2,student,737,others,Unambiguous,Gender mismatch,-1,1
1,gp4,4,3,called%2C,658,others,Unambiguous,Gender mismatch,-1,1
1,gp4,4,4,Ben's,727,others,Unambiguous,Gender mismatch,-1,1
1,gp4,4,5,daughter,730,Pre-disambiguating region,Unambiguous,Gender mismatch,-1,1
