Subject,Item,Condition,Word,RT,region_g,ambiguity_g,gender_g,ambiguity,gender
1,ca2,1,0,936,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,1,1207,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,2,568,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,3,576,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,4,696,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,5,840,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,6,994,Reflexive region,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,7,766,Post-reflexive region,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,8,696,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,9,688,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,10,632,Disambiguating region,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,11,664,Post-disambiguating region,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,12,968,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,13,584,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,14,672,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,15,680,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,1,16,720,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca3,2,0,543,Others,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,1,736,Others,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,2,704,Others,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,3,634,Others,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,4,558,Others,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,5,872,Others,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,6,1056,Others,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,7,696,Reflexive region,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,8,568,Post-reflexive region,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,9,728,Others,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,10,824,Others,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,11,600,Disambiguating region,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,12,680,Post-disambiguating region,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,13,736,Others,Unambiguous,Gender match,0.5,-0.5
1,ca3,2,14,1288,Others,Unambiguous,Gender match,0.5,-0.5
1,ca4,3,0,1551,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,1,960,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,2,NA,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,3,NA,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,4,NA,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,5,NA,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,6,NA,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,7,NA,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,8,NA,Reflexive region,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,9,NA,Post-reflexive region,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,10,NA,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,11,NA,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,12,NA,Disambiguating region,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,13,NA,Post-disambiguating region,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,14,NA,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,15,NA,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca4,3,16,NA,Others,Unambiguous,Gender mismatch,0.5,0.5
1,ca1,4,0,606,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,1,944,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,2,560,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,3,592,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,4,1049,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,5,767,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,6,594,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,7,647,Reflexive region,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,8,543,Post-reflexive region,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,9,617,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,10,799,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,11,801,Disambiguating region,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,12,1159,Post-disambiguating region,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,13,NA,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,14,NA,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,15,NA,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca1,4,16,NA,Others,Ambiguous,Gender match,-0.5,-0.5
1,ca2,5,0,1057,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,5,1,734,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,5,2,552,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,5,3,680,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,5,4,873,Others,Ambiguous,Gender mismatch,-0.5,0.5
1,ca2,5,5,735,Others,Ambiguous,Gender mismatch,-0.5,0.5
