Subject,Item,Condition,Word,word,RT,region_g,ambiguity_g,ambiguity
1,ca2,1,0,John,1048,Others,Unambiguous,0.5
1,ca2,1,1,hoped,614,Others,Unambiguous,0.5
1,ca2,1,2,that,567,Others,Unambiguous,0.5
1,ca2,1,3,the,631,Others,Unambiguous,0.5
1,ca2,1,4,boy,928,Others,Unambiguous,0.5
1,ca2,1,5,took,1034,Disambiguating region,Unambiguous,0.5
1,ca2,1,6,some,597,Post-disambiguating region,Unambiguous,0.5
1,ca2,1,7,time,708,Others,Unambiguous,0.5
1,ca2,1,8,to,590,Others,Unambiguous,0.5
1,ca2,1,9,rest,697,Others,Unambiguous,0.5
1,ca2,1,10,from,639,Others,Unambiguous,0.5
1,ca2,1,11,studying.,616,Others,Unambiguous,0.5
1,ca1,2,0,Mary,732,Others,Ambiguous,-0.5
1,ca1,2,1,realised,655,Others,Ambiguous,-0.5
1,ca1,2,2,the,706,Others,Ambiguous,-0.5
1,ca1,2,3,girl,648,Others,Ambiguous,-0.5
1,ca1,2,4,watched,728,Disambiguating region,Ambiguous,-0.5
1,ca1,2,5,the,823,Post-disambiguating region,Ambiguous,-0.5
1,ca1,2,6,television,582,Others,Ambiguous,-0.5
1,ca1,2,7,secretly.,846,Others,Ambiguous,-0.5
1,ca2,3,0,David,621,Others,Unambiguous,0.5
1,ca2,3,1,claimed,739,Others,Unambiguous,0.5
1,ca2,3,2,that,523,Others,Unambiguous,0.5
1,ca2,3,3,the,763,Others,Unambiguous,0.5
1,ca2,3,4,boy,705,Others,Unambiguous,0.5
1,ca2,3,5,looked,677,Disambiguating region,Unambiguous,0.5
1,ca2,3,6,very,567,Post-disambiguating region,Unambiguous,0.5
1,ca2,3,7,nervous,680,Others,Unambiguous,0.5
1,ca2,3,8,and,787,Others,Unambiguous,0.5
1,ca2,3,9,tense.,758,Others,Unambiguous,0.5
1,ca1,4,0,Anna,860,Others,Ambiguous,-0.5
1,ca1,4,1,hoped,745,Others,Ambiguous,-0.5
1,ca1,4,2,the,672,Others,Ambiguous,-0.5
1,ca1,4,3,girl,707,Others,Ambiguous,-0.5
1,ca1,4,4,made,649,Disambiguating region,Ambiguous,-0.5
1,ca1,4,5,eye,768,Post-disambiguating region,Ambiguous,-0.5
1,ca1,4,6,contact,646,Others,Ambiguous,-0.5
1,ca1,4,7,with,574,Others,Ambiguous,-0.5
1,ca1,4,8,the,592,Others,Ambiguous,-0.5
1,ca1,4,9,classmates.,878,Others,Ambiguous,-0.5
1,ca2,5,0,James,1124,Others,Unambiguous,0.5
1,ca2,5,1,hoped,816,Others,Unambiguous,0.5
1,ca2,5,2,that,621,Others,Unambiguous,0.5
