Subject,Item,Condition,Word,RT,region_g,ambiguity_g,ajunct_g,ambiguity,ajunct
1,ca2,1,0,719,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,1,1000,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,2,736,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,3,832,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,4,704,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,5,1496,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,6,680,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,7,880,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,8,711,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,9,1161,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,10,816,Disambiguating region,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,11,744,Post-disambiguating region,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,12,848,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,13,599,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,14,809,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,15,839,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,1,16,1009,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca3,2,0,1087,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,2,1,1121,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,2,2,1096,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,2,3,903,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,2,4,1184,Disambiguating region,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,2,5,793,Post-disambiguating region,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,2,6,912,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,2,7,1030,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca4,3,0,656,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,3,1,736,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,3,2,656,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,3,3,671,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,3,4,753,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,3,5,951,Disambiguating region,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,3,6,648,Post-disambiguating region,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,3,7,913,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,3,8,648,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,3,9,959,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca1,4,0,1279,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,1,768,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,2,776,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,3,696,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,4,959,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,5,1305,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,6,792,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,7,832,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,8,711,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,9,609,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,10,928,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,11,768,Disambiguating region,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,12,680,Post-disambiguating region,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,13,952,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,14,736,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,15,968,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,4,16,832,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca2,5,0,728,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,1,648,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,2,600,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,3,544,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,4,624,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,5,816,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,6,1104,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,7,2488,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,8,600,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,9,904,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,10,2608,Disambiguating region,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,11,856,Post-disambiguating region,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,12,584,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,13,592,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,5,14,1208,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca3,6,0,759,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,6,1,968,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,6,2,608,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,6,3,808,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,6,4,984,Disambiguating region,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,6,5,784,Post-disambiguating region,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,6,6,928,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,6,7,1753,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,6,8,832,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca4,7,0,808,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,7,1,1040,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,7,2,544,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,7,3,752,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,7,4,696,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,7,5,1064,Disambiguating region,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,7,6,703,Post-disambiguating region,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,7,7,881,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,7,8,888,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca4,7,9,1144,Others,Unambiguous,Adjunct-absent,0.5,0.5
1,ca1,8,0,831,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,1,680,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,2,680,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,3,656,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,4,728,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,5,800,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,6,761,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,7,655,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,8,720,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,9,704,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,10,976,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,11,912,Disambiguating region,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,12,904,Post-disambiguating region,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,13,793,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,14,727,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca1,8,15,688,Others,Ambiguous,Adjunct-present,-0.5,-0.5
1,ca2,9,0,791,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,1,745,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,2,543,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,3,624,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,4,817,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,5,791,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,6,640,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,7,817,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,8,888,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,9,696,Disambiguating region,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,10,936,Post-disambiguating region,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,11,848,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca2,9,12,935,Others,Unambiguous,Adjunct-present,0.5,-0.5
1,ca3,10,0,647,Others,Ambiguous,Adjunct-absent,-0.5,0.5
1,ca3,10,1,824,Others,Ambiguous,Adjunct-absent,-0.5,0.5
