Subject,Item,Condition,Word,RT,RegionP,GrammaticalityP,DistractorP,Grammaticality,Distractor,IF_Gramm,IF_Ungramm
1,14,Expt2-F,0,479,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,Expt2-F,1,768,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,Expt2-F,2,1016,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,Expt2-F,3,1000,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,Expt2-F,4,824,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,Expt2-F,5,712,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,Expt2-F,6,632,Pre-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,Expt2-F,7,808,Reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,Expt2-F,8,664,Post-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,14,Expt2-F,9,720,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,9,Expt2-E,0,559,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,Expt2-E,1,1113,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,Expt2-E,2,759,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,Expt2-E,3,984,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,Expt2-E,4,888,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,Expt2-E,5,648,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,Expt2-E,6,680,Pre-reflexive,Grammatical,Match,0.5,0.5,0.5,0
1,9,Expt2-E,7,655,Reflexive,Grammatical,Match,0.5,0.5,0.5,0
1,9,Expt2-E,8,745,Post-reflexive,Grammatical,Match,0.5,0.5,0.5,0
1,9,Expt2-E,9,767,Others,Grammatical,Match,0.5,0.5,0.5,0
1,9,Expt2-E,10,761,Others,Grammatical,Match,0.5,0.5,0.5,0
1,4,Expt2-H,0,711,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,4,Expt2-H,1,1304,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,4,Expt2-H,2,943,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,4,Expt2-H,3,776,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,4,Expt2-H,4,1217,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,4,Expt2-H,5,711,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,4,Expt2-H,6,807,Pre-reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,4,Expt2-H,7,848,Reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,4,Expt2-H,8,864,Post-reflexive,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,4,Expt2-H,9,680,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,11,Expt2-G,0,719,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,Expt2-G,1,520,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,Expt2-G,2,872,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,Expt2-G,3,704,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,Expt2-G,4,727,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,Expt2-G,5,633,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,Expt2-G,6,856,Pre-reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,Expt2-G,7,792,Reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,Expt2-G,8,727,Post-reflexive,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,Expt2-G,9,537,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,Expt2-G,10,935,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,11,Expt2-G,11,736,Others,Ungrammatical,Match,-0.5,0.5,0,0.5
1,18,Expt2-F,0,615,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,Expt2-F,1,912,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,Expt2-F,2,648,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,Expt2-F,3,1056,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,Expt2-F,4,984,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,Expt2-F,5,592,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,Expt2-F,6,560,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,Expt2-F,7,615,Pre-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,Expt2-F,8,712,Reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,Expt2-F,9,609,Post-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,18,Expt2-F,10,839,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,Expt2-F,0,615,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,Expt2-F,1,856,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,Expt2-F,2,985,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,Expt2-F,3,855,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,Expt2-F,4,721,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,Expt2-F,5,647,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,Expt2-F,6,657,Pre-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,Expt2-F,7,768,Reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,Expt2-F,8,1471,Post-reflexive,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,Expt2-F,9,616,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,2,Expt2-F,10,912,Others,Grammatical,Mismatch,0.5,-0.5,-0.5,0
1,24,Expt2-H,0,759,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,Expt2-H,1,968,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,Expt2-H,2,NA,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,Expt2-H,3,NA,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,Expt2-H,4,NA,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
1,24,Expt2-H,5,NA,Others,Ungrammatical,Mismatch,-0.5,-0.5,0,-0.5
