Subject,Item,Condition,Word,RT,RegionP,PositionP,DistractorP,Position,Distractor
1,1,cond2,0,527,Others,Preposition,Mismatch,0.5,-0.5
1,1,cond2,1,768,Others,Preposition,Mismatch,0.5,-0.5
1,1,cond2,2,673,Others,Preposition,Mismatch,0.5,-0.5
1,1,cond2,3,847,Others,Preposition,Mismatch,0.5,-0.5
1,1,cond2,4,1544,Pre-reflexive,Preposition,Mismatch,0.5,-0.5
1,1,cond2,5,4808,Reflexive,Preposition,Mismatch,0.5,-0.5
1,1,cond2,6,704,Post-reflexive,Preposition,Mismatch,0.5,-0.5
1,1,cond2,7,NA,Others,Preposition,Mismatch,0.5,-0.5
1,1,cond2,8,NA,Others,Preposition,Mismatch,0.5,-0.5
1,2,cond3,0,679,Others,Direct object,Match,-0.5,0.5
1,2,cond3,1,720,Others,Direct object,Match,-0.5,0.5
1,2,cond3,2,1040,Others,Direct object,Match,-0.5,0.5
1,2,cond3,3,808,Others,Direct object,Match,-0.5,0.5
1,2,cond3,4,680,Pre-reflexive,Direct object,Match,-0.5,0.5
1,2,cond3,5,1024,Reflexive,Direct object,Match,-0.5,0.5
1,2,cond3,6,1064,Post-reflexive,Direct object,Match,-0.5,0.5
1,2,cond3,7,864,Others,Direct object,Match,-0.5,0.5
1,2,cond3,8,856,Others,Direct object,Match,-0.5,0.5
1,3,cond4,0,568,Others,Direct object,Mismatch,-0.5,-0.5
1,3,cond4,1,640,Others,Direct object,Mismatch,-0.5,-0.5
1,3,cond4,2,824,Others,Direct object,Mismatch,-0.5,-0.5
1,3,cond4,3,808,Others,Direct object,Mismatch,-0.5,-0.5
1,3,cond4,4,840,Pre-reflexive,Direct object,Mismatch,-0.5,-0.5
1,3,cond4,5,1391,Reflexive,Direct object,Mismatch,-0.5,-0.5
1,3,cond4,6,872,Post-reflexive,Direct object,Mismatch,-0.5,-0.5
1,3,cond4,7,664,Others,Direct object,Mismatch,-0.5,-0.5
1,3,cond4,8,945,Others,Direct object,Mismatch,-0.5,-0.5
1,3,cond4,9,912,Others,Direct object,Mismatch,-0.5,-0.5
1,4,cond1,0,600,Others,Preposition,Match,0.5,0.5
1,4,cond1,1,688,Others,Preposition,Match,0.5,0.5
1,4,cond1,2,679,Others,Preposition,Match,0.5,0.5
1,4,cond1,3,839,Others,Preposition,Match,0.5,0.5
1,4,cond1,4,729,Pre-reflexive,Preposition,Match,0.5,0.5
1,4,cond1,5,896,Reflexive,Preposition,Match,0.5,0.5
1,4,cond1,6,720,Post-reflexive,Preposition,Match,0.5,0.5
1,4,cond1,7,1048,Others,Preposition,Match,0.5,0.5
1,5,cond2,0,728,Others,Preposition,Mismatch,0.5,-0.5
1,5,cond2,1,760,Others,Preposition,Mismatch,0.5,-0.5
1,5,cond2,2,887,Others,Preposition,Mismatch,0.5,-0.5
1,5,cond2,3,1336,Others,Preposition,Mismatch,0.5,-0.5
1,5,cond2,4,855,Pre-reflexive,Preposition,Mismatch,0.5,-0.5
1,5,cond2,5,2233,Reflexive,Preposition,Mismatch,0.5,-0.5
1,5,cond2,6,872,Post-reflexive,Preposition,Mismatch,0.5,-0.5
1,5,cond2,7,1008,Others,Preposition,Mismatch,0.5,-0.5
1,5,cond2,8,777,Others,Preposition,Mismatch,0.5,-0.5
1,6,cond3,0,591,Others,Direct object,Match,-0.5,0.5
1,6,cond3,1,976,Others,Direct object,Match,-0.5,0.5
1,6,cond3,2,1064,Others,Direct object,Match,-0.5,0.5
1,6,cond3,3,944,Others,Direct object,Match,-0.5,0.5
1,6,cond3,4,1000,Pre-reflexive,Direct object,Match,-0.5,0.5
1,6,cond3,5,1240,Reflexive,Direct object,Match,-0.5,0.5
1,6,cond3,6,1417,Post-reflexive,Direct object,Match,-0.5,0.5
1,6,cond3,7,807,Others,Direct object,Match,-0.5,0.5
1,6,cond3,8,1537,Others,Direct object,Match,-0.5,0.5
1,7,cond4,0,663,Others,Direct object,Mismatch,-0.5,-0.5
1,7,cond4,1,1072,Others,Direct object,Mismatch,-0.5,-0.5
1,7,cond4,2,848,Others,Direct object,Mismatch,-0.5,-0.5
1,7,cond4,3,752,Others,Direct object,Mismatch,-0.5,-0.5
1,7,cond4,4,936,Pre-reflexive,Direct object,Mismatch,-0.5,-0.5
1,7,cond4,5,1000,Reflexive,Direct object,Mismatch,-0.5,-0.5
1,7,cond4,6,1193,Post-reflexive,Direct object,Mismatch,-0.5,-0.5
1,7,cond4,7,1263,Others,Direct object,Mismatch,-0.5,-0.5
1,7,cond4,8,721,Others,Direct object,Mismatch,-0.5,-0.5
1,7,cond4,9,976,Others,Direct object,Mismatch,-0.5,-0.5
1,8,cond1,0,544,Others,Preposition,Match,0.5,0.5
1,8,cond1,1,952,Others,Preposition,Match,0.5,0.5
1,8,cond1,2,832,Others,Preposition,Match,0.5,0.5
1,8,cond1,3,952,Others,Preposition,Match,0.5,0.5
1,8,cond1,4,792,Pre-reflexive,Preposition,Match,0.5,0.5
1,8,cond1,5,912,Reflexive,Preposition,Match,0.5,0.5
1,8,cond1,6,752,Post-reflexive,Preposition,Match,0.5,0.5
1,8,cond1,7,807,Others,Preposition,Match,0.5,0.5
1,8,cond1,8,705,Others,Preposition,Match,0.5,0.5
1,8,cond1,9,720,Others,Preposition,Match,0.5,0.5
