Word,Value,Alternative,Word.on..0.left..1.right.,Crit_Reg,Condition,Item,acc,RT,Total.time.to.correct.answer,Subject
0,老年人,xxx,0,NA,filler,57,1,1022,1022,1
1,喜欢,资料,0,NA,filler,57,1,1224,1224,1
2,听,十,0,NA,filler,57,1,870,870,1
3,的,可,1,NA,filler,57,1,1320,1320,1
4,不仅,化学,1,NA,filler,57,1,1034,1034,1
5,有,洗,0,NA,filler,57,1,720,720,1
6,戏曲，,召开，,0,NA,filler,57,1,614,614,1
7,流行乐,重要性,0,NA,filler,57,1,1442,1442,1
8,现在,必须,0,NA,filler,57,1,2811,2811,1
9,也,种,0,NA,filler,57,1,662,662,1
10,很,呢,1,NA,filler,57,1,957,957,1
11,受欢迎。,称之为。,1,NA,filler,57,1,2203,2203,1
0,没人,xxx,0,NA,filler,38,1,812,812,1
1,浇灌,当即,0,NA,filler,38,1,2178,2178,1
2,的,我,0,NA,filler,38,1,1222,1222,1
3,木板,折射,1,NA,filler,38,1,1771,1771,1
4,总计,炎症,0,NA,filler,38,1,1542,1542,1
5,有,你,1,NA,filler,38,1,568,568,1
6,三四个，,要知道，,0,NA,filler,38,1,802,802,1
7,藤蔓,撤销,1,NA,filler,38,1,1014,1014,1
8,依旧,羡慕,0,NA,filler,38,1,799,799,1
9,在,上,1,NA,filler,38,1,2000,2000,1
10,顽强地,邀请赛,0,NA,filler,38,1,832,832,1
11,生长。,儿童。,1,NA,filler,38,1,565,565,1
0,深山,xxx,0,7,c,22,1,967,967,1
1,里,大,0,7,c,22,1,1042,1042,1
2,的,他,0,7,c,22,1,813,813,1
3,小路,腐朽,1,7,c,22,1,784,784,1
4,听说,兴趣,1,7,c,22,1,1840,1840,1
5,有,把,0,7,c,22,1,768,768,1
6,五座，,发疯，,0,7,c,22,1,2031,2031,1
7,探险者,挡箭牌,1,7,c,22,1,4707,4707,1
8,立志,寒微,0,7,c,22,1,1120,1120,1
9,一定要,惹麻烦,0,7,c,22,1,1046,1046,1
10,找到,很快,0,7,c,22,1,671,671,1
11,所有。,大人。,1,7,c,22,1,800,800,1
0,清理,xxx,0,NA,filler,43,1,920,920,1
1,不掉,艺术,1,NA,filler,43,1,2367,2367,1
2,的,手,1,NA,filler,43,1,610,610,1
3,泡泡糖,一路上,1,NA,filler,43,1,934,934,1
4,有,木,1,NA,filler,43,1,1172,1172,1
5,好几层，,占优势，,1,NA,filler,43,1,933,933,1
6,值日生,大幅度,1,NA,filler,43,1,2198,2198,1
7,还是在,照相机,0,NA,filler,43,1,896,896,1
8,不停地,教育学,0,NA,filler,43,1,647,647,1
9,擦拭。,设备。,1,NA,filler,43,1,1026,1026,1
0,玫瑰,xxx,0,7,a,24,1,702,702,1
1,遮住,棒槌,0,7,a,24,1,920,920,1
2,的,就,1,7,a,24,1,1103,1103,1
3,小花,驰骋,0,7,a,24,1,624,624,1
4,大约,销售,0,7,a,24,1,785,785,1
5,有,你,1,7,a,24,1,617,617,1
6,两朵，,凝结，,0,7,a,24,1,509,509,1
7,摄影师,概括性,1,7,a,24,1,1594,1594,1
8,觉得,民族,1,7,a,24,1,630,630,1
9,这个,研究,0,7,a,24,1,648,648,1
10,角度,避免,1,7,a,24,1,3082,3082,1
11,还不错。,慢吞吞。,1,7,a,24,1,871,871,1
0,领班,xxx,0,NA,filler,35,1,1857,1857,1
1,打碎,震撼,1,NA,filler,35,1,1222,1222,1
2,的,圆,1,NA,filler,35,1,577,577,1
3,领带,诧异,1,NA,filler,35,1,639,639,1
4,有,伞,1,NA,filler,35,1,967,967,1
5,很多条，,即使是，,0,NA,filler,35,1,600,600,1
6,老板,演奏,0,NA,filler,35,1,848,848,1
7,知道后,有意义,0,NA,filler,35,1,624,624,1
8,并没有,代表团,1,NA,filler,35,1,783,783,1
9,责骂,碧绿,1,NA,filler,35,1,752,752,1
10,他。,和。,1,NA,filler,35,1,673,673,1
0,总监,xxx,0,NA,filler,37,1,848,848,1
1,起草,垃圾,0,NA,filler,37,1,1554,1554,1
2,的,把,0,NA,filler,37,1,598,598,1
3,办公室,怎么办,1,NA,filler,37,1,1605,1605,1
4,确实,剥削,1,NA,filler,37,1,3444,3444,1
5,有,种,0,NA,filler,37,1,565,565,1
6,一个，,生活，,1,NA,filler,37,0,5683,9152,1
7,另外,降低,1,NA,filler,37,1,1471,1471,1
8,那个,矛盾,0,NA,filler,37,1,715,715,1
9,是由,惊愕,1,NA,filler,37,1,727,727,1
10,专业人士,哺乳动物,0,NA,filler,37,1,1042,1042,1
11,负责,粮食,1,NA,filler,37,1,629,629,1
12,的。,种。,0,NA,filler,37,1,971,971,1
0,空调,xxx,0,7,b,17,1,558,558,1
1,挨着,沮丧,1,7,b,17,1,1015,1015,1
2,的,种,0,7,b,17,1,695,695,1
3,大门,拒绝,0,7,b,17,1,641,641,1
4,一共,沸腾,0,7,b,17,1,542,542,1
5,有,我,1,7,b,17,1,552,552,1
6,两扇，,蜻蜓，,1,7,b,17,1,633,633,1
7,老板,演奏,1,7,b,17,1,4402,4402,1
8,认为,组织,1,7,b,17,1,622,622,1
9,这个,闪耀,0,7,b,17,1,675,675,1
10,布局,残酷,1,7,b,17,1,787,787,1
11,不太好。,芭蕾舞。,0,7,b,17,1,652,652,1
0,最近,xxx,0,NA,filler,46,1,608,608,1
1,发生,思想,1,NA,filler,46,1,1679,1679,1
2,的,我,0,NA,filler,46,1,616,616,1
3,雪崩,赚钱,1,NA,filler,46,1,2183,2183,1
4,虽然,精神,0,NA,filler,46,1,705,705,1
5,仅仅,毫无,1,NA,filler,46,0,656,3707,1
6,有,种,1,NA,filler,46,1,677,677,1
7,一场，,眺望，,1,NA,filler,46,1,690,690,1
8,旅游局,啄木鸟,0,NA,filler,46,1,982,982,1
9,还是,歌唱,1,NA,filler,46,1,582,582,1
10,警告,阶段,0,NA,filler,46,1,1572,1572,1
11,游客,思想,1,NA,filler,46,1,624,624,1
12,不要,痉挛,0,NA,filler,46,1,552,552,1
13,前往。,纠缠。,1,NA,filler,46,1,685,685,1
0,院子,xxx,0,NA,filler,36,1,638,638,1
1,里,三,1,NA,filler,36,1,1016,1016,1
2,种,而,1,NA,filler,36,1,1475,1475,1
3,的,热,1,NA,filler,36,1,685,685,1
4,亭子,贬值,0,NA,filler,36,1,1082,1082,1
5,有,玉,1,NA,filler,36,1,990,990,1
6,两个，,官吏，,0,NA,filler,36,1,556,556,1
7,夏天,收缩,1,NA,filler,36,1,1367,1367,1
8,全家人,羽绒服,1,NA,filler,36,1,663,663,1
9,都会,障碍,1,NA,filler,36,1,647,647,1
10,在这里,西北风,0,NA,filler,36,1,801,801,1
11,乘凉。,憔悴。,0,NA,filler,36,1,982,982,1
0,教学楼,xxx,0,7,a,20,1,1581,1581,1
1,附近,一些,1,7,a,20,1,2149,2149,1
2,的,不,0,7,a,20,1,567,567,1
3,宿舍,灿烂,0,7,a,20,1,639,639,1
4,一共,沸腾,1,7,a,20,1,609,609,1
5,有,雨,1,7,a,20,1,577,577,1
6,两栋，,唾液，,1,7,a,20,1,695,695,1
7,其余的,葡萄糖,0,7,a,20,1,854,854,1
8,都在,尺寸,1,7,a,20,1,706,706,1
9,学校,怎样,1,7,a,20,1,1319,1319,1
10,另一头。,下雨了。,0,7,a,20,1,993,993,1
0,阅览室,xxx,0,NA,filler,54,1,680,680,1
1,里,羊,0,NA,filler,54,1,725,725,1
2,确实,徒弟,1,NA,filler,54,1,1570,1570,1
3,有,下,1,NA,filler,54,1,662,662,1
4,几台,叮嘱,0,NA,filler,54,1,656,656,1
5,电脑，,增添，,1,NA,filler,54,1,616,616,1
6,然而,矛盾,1,NA,filler,54,1,976,976,1
7,大多数,四边形,0,NA,filler,54,1,983,983,1
8,不能,健身,1,NA,filler,54,1,648,648,1
9,正常,正是,1,NA,filler,54,1,1193,1193,1
10,使用。,基础。,0,NA,filler,54,1,1063,1063,1
0,地板,xxx,0,8,d,15,1,525,525,1
1,上,年,0,8,d,15,1,556,556,1
2,堆着,考核,1,8,d,15,1,765,765,1
3,的,而,1,8,d,15,1,832,832,1
4,垃圾,强烈,1,8,d,15,1,697,697,1
5,起码,剥夺,1,8,d,15,1,1495,1495,1
6,有,地,0,8,d,15,1,527,527,1
7,两套，,灼热，,1,8,d,15,1,1224,1224,1
8,主人,探索,0,8,d,15,1,1417,1417,1
9,很久,闪烁,1,8,d,15,1,571,571,1
10,没有,问题,0,8,d,15,1,551,551,1
11,整理,仅仅,1,8,d,15,1,629,629,1
12,了。,不。,1,8,d,15,1,690,690,1
0,伴郎,xxx,0,NA,filler,40,1,824,824,1
1,驾驶,八百,1,NA,filler,40,1,1663,1663,1
2,的,花,0,NA,filler,40,1,664,664,1
3,衬衫,膨胀,1,NA,filler,40,1,2317,2317,1
4,至少,若干,0,NA,filler,40,1,644,644,1
5,有,里,1,NA,filler,40,1,445,445,1
6,三个，,打假，,0,NA,filler,40,1,538,538,1
7,然而,实践,1,NA,filler,40,1,681,681,1
8,宾客们,周期性,0,NA,filler,40,1,902,902,1
9,并不,矛盾,1,NA,filler,40,1,786,786,1
10,知情。,迄今。,1,NA,filler,40,1,1447,1447,1
0,桌子,xxx,0,8,b,1,1,494,494,1
1,下面,哎呦,0,8,b,1,1,601,601,1
2,藏着,膀胱,0,8,b,1,1,570,570,1
3,的,也,1,8,b,1,1,781,781,1
4,小说,倾向,1,8,b,1,1,1128,1128,1
5,竟然,蚂蚁,0,8,b,1,1,618,618,1
6,有,何,0,8,b,1,0,472,3446,1
7,三本，,拥挤，,1,8,b,1,1,650,650,1
8,老师,逐步,0,8,b,1,1,943,943,1
9,发现后,跳下去,1,8,b,1,1,938,938,1
10,非常,阶段,0,8,b,1,1,718,718,1
11,生气。,这类。,1,8,b,1,1,633,633,1
0,散发,xxx,0,NA,filler,47,1,663,663,1
1,臭气,检修,1,NA,filler,47,1,855,855,1
2,的,总,0,NA,filler,47,1,566,566,1
3,垃圾,端详,0,NA,filler,47,1,524,524,1
4,这里,第二,1,NA,filler,47,1,1997,1997,1
5,有,不,0,NA,filler,47,1,618,618,1
6,好几堆，,玫瑰花，,1,NA,filler,47,1,1056,1056,1
7,物业,胸脯,1,NA,filler,47,1,1342,1342,1
8,已经,思想,0,NA,filler,47,1,870,870,1
9,忽视,妹妹,1,NA,filler,47,1,747,747,1
10,了,已,0,NA,filler,47,1,635,635,1
11,很久。,闪烁。,0,NA,filler,47,1,598,598,1
0,这首,xxx,0,NA,filler,31,1,631,631,1
1,歌,粒,1,NA,filler,31,1,552,552,1
2,借鉴,侦察,0,NA,filler,31,1,1029,1029,1
3,的,也,0,NA,filler,31,1,1219,1219,1
4,古诗,崇拜,0,NA,filler,31,1,609,609,1
5,听上去,静悄悄,1,NA,filler,31,1,1517,1517,1
6,有,北,1,NA,filler,31,1,568,568,1
7,很多，,告诉，,1,NA,filler,31,1,1524,1524,1
8,评委,欺侮,0,NA,filler,31,1,1782,1782,1
9,听完后,销售额,0,NA,filler,31,1,694,694,1
10,给了,凤凰,0,NA,filler,31,1,697,697,1
11,很多,容易,0,NA,filler,31,1,663,663,1
