Subject,MTurk,Type,Condition,Item,WordNo,Word,Foil,CorrectChoice,RT
1674525696,d51f078e27de297720f590b92a718699,Form,consent,NULL,_REACTION_TIME_,10989,,,
1674525696,d51f078e27de297720f590b92a718699,Form,intro-1,NULL,_REACTION_TIME_,16631,,,
1674525696,d51f078e27de297720f590b92a718699,Form,intro-2,NULL,_REACTION_TIME_,20213,,,
1674525696,d51f078e27de297720f590b92a718699,Form,intro-3,NULL,_REACTION_TIME_,52128,,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_1,NULL,0,After,x-x-x,yes,3650
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_1,NULL,1,this%2C,walk%2C,yes,1631
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_1,NULL,2,Frits,Eyes,yes,1656
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_1,NULL,3,tried,world,yes,910
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_1,NULL,4,to,sit,yes,612
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_1,NULL,5,remember,external,yes,984
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_1,NULL,6,the,sat,yes,705
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_1,NULL,7,dream,forth,yes,639
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_1,NULL,8,he,thy,yes,564
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_1,NULL,9,just,cold,yes,621
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_1,NULL,10,had.,me.,yes,595
1674525696,d51f078e27de297720f590b92a718699,QuestionAlt,practice_1,NULL,Did Frits just wake up?,Yes,1,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_2,NULL,0,John,x-x-x,yes,659
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_2,NULL,1,probably,theories,yes,715
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_2,NULL,2,already,authors,yes,1624
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_2,NULL,3,made,edge,yes,792
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_2,NULL,4,other,wants,yes,1334
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_2,NULL,5,plans.,layer.,yes,476
1674525696,d51f078e27de297720f590b92a718699,QuestionAlt,practice_2,NULL,Is Person 1 throwing a party?,Yes,1,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_3,NULL,0,She,x-x-x,yes,718
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_3,NULL,1,promised,colleges,yes,1458
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_3,NULL,2,herself,evident,yes,797
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_3,NULL,3,never,count,yes,763
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_3,NULL,4,to,sky,yes,509
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_3,NULL,5,eat,joy,yes,521
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_3,NULL,6,this,view,yes,470
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_3,NULL,7,much,hear,yes,474
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_3,NULL,8,again.,motor.,yes,435
1674525696,d51f078e27de297720f590b92a718699,QuestionAlt,practice_3,NULL,Was Sophia still hungry?,No,1,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,0,He,x-x-x,yes,562
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,1,made,boat,yes,1123
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,2,a,die,yes,491
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,3,scarf,dries,yes,653
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,4,with,thou,yes,520
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,5,soft,sale,yes,998
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,6,yarn,heap,yes,513
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,7,and,our,yes,615
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,8,long,thou,yes,1810
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,9,fringes%2C,coaches%2C,yes,919
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,10,as,aid,yes,1392
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,11,a,why,yes,814
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,12,birthday,consumed,yes,724
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,13,present,periods,yes,420
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,14,for,end,yes,642
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,15,his,can,yes,451
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_4,NULL,16,partner.,obliged.,yes,538
1674525696,d51f078e27de297720f590b92a718699,QuestionAlt,practice_4,NULL,Did Amos have a lot to do?,Yes,0,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_5,NULL,0,Nothing,x-x-x,yes,772
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_5,NULL,1,special%2C,density%2C,yes,805
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_5,NULL,2,but,ago,yes,844
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_5,NULL,3,at,mid,yes,852
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_5,NULL,4,least,plans,yes,701
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_5,NULL,5,it&apos;s,nor,yes,602
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_5,NULL,6,not,eye,yes,619
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_5,NULL,7,as,net,yes,1363
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_5,NULL,8,cold,bear,yes,629
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_5,NULL,9,as,few,yes,460
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_5,NULL,10,yesterday,physician,yes,807
1674525696,d51f078e27de297720f590b92a718699,QuestionAlt,practice_5,NULL,Is Person 1 wondering about the weather?,Yes,1,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_6,NULL,0,It’s,x-x-x,yes,487
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_6,NULL,1,ten,lot,no,635
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_6,NULL,2,past,flow,no,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_6,NULL,3,three.,agree.,no,
1674525696,d51f078e27de297720f590b92a718699,QuestionAlt,practice_6,NULL,Is it ten past six?,No,1,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,0,He,x-x-x,yes,451
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,1,accepted,marriage,yes,1884
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,2,a,eat,yes,624
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,3,mafia,yarns,yes,1729
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,4,bribe,feats,yes,613
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,5,three,glass,yes,807
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,6,days,copy,yes,787
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,7,earlier%2C,follows%2C,yes,1570
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,8,in,dog,yes,811
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,9,a,are,yes,518
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,10,quiet,prove,yes,839
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,11,booth,piled,yes,1342
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,12,at,us,yes,619
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,13,a,sun,yes,788
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,14,fancy,aloud,yes,809
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,15,restaurant,commentary,yes,769
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,16,near,hard,yes,848
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,17,city,core,yes,2298
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,practice_7,NULL,18,hall.,evil.,yes,1013
1674525696,d51f078e27de297720f590b92a718699,QuestionAlt,practice_7,NULL,Did Amelia denounce Nathan?,Yes,1,,
1674525696,d51f078e27de297720f590b92a718699,Form,postPractice,NULL,_REACTION_TIME_,13766,,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,0,I,x-x-x,yes,561
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,1,think,owner,yes,541
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,2,I,Sat,yes,503
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,3,last,boys,yes,847
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,4,saw,sky,yes,669
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,5,them,anti,yes,578
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,6,on,aid,yes,646
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,7,the,sum,yes,684
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,8,coffee,engage,yes,580
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,9,table%2C,truth%2C,yes,420
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,10,but,sin,yes,556
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,11,don&apos;t,shift,yes,909
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,12,know,coal,yes,790
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,13,if,net,yes,738
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,14,they&apos;re,appeals,yes,639
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,15,still,unity,yes,500
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_4,NULL,16,there.,refer.,yes,552
1674525696,d51f078e27de297720f590b92a718699,QuestionAlt,burnin_4,NULL,Is Person 1 looking for their keys?,Yes,1,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,0,I,x-x-x,yes,441
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,1,did,bad,yes,763
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,2,laundry,donated,yes,732
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,3,this,self,yes,585
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,4,morning%2C,nations%2C,yes,653
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,5,at,sin,yes,593
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,6,the,die,yes,899
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,7,laundromat,cosmonauts,yes,860
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,8,on,sin,yes,698
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,9,the,sum,yes,853
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,10,corner,indeed,yes,744
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,11,by,eat,yes,794
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,12,the,nor,yes,782
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_5,NULL,13,supermarket.,reproducing.,yes,733
1674525696,d51f078e27de297720f590b92a718699,QuestionAlt,burnin_5,NULL,Is Person 1 wondering about yesterday?,No,1,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,0,He,x-x-x,yes,492
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,1,went,blue,yes,776
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,2,to,sky,yes,578
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,3,a,ago,yes,495
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,4,party,units,yes,1834
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,5,that,rise,yes,909
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,6,night,sharp,yes,629
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,7,at,mid,yes,664
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,8,an,sum,yes,595
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,9,art,had,yes,1513
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,10,gallery,resolve,yes,693
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,11,in,bit,yes,503
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,12,the,sum,yes,642
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,13,trendy,deport,yes,822
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,14,part,here,yes,552
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,15,of,ran,yes,586
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_3,NULL,16,town.,note.,yes,568
1674525696,d51f078e27de297720f590b92a718699,QuestionAlt,burnin_3,NULL,Did George clean his apartment?,Yes,1,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_2,NULL,0,Kenji,x-x-x,yes,568
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_2,NULL,1,ordered,quality,yes,859
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_2,NULL,2,coffee,define,yes,999
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_2,NULL,3,for,sin,yes,505
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_2,NULL,4,both,than,yes,508
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_2,NULL,5,of,ago,yes,489
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_2,NULL,6,them.,true.,yes,589
1674525696,d51f078e27de297720f590b92a718699,QuestionAlt,burnin_2,NULL,Did Kimi order coffee?,Yes,0,,
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,0,Angelique,x-x-x,yes,448
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,1,gave,fast,yes,687
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,2,Celia,Quail,yes,704
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,3,her,fit,yes,651
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,4,number,affect,yes,709
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,5,an,us,yes,2408
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,6,hour,data,yes,839
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,7,later%2C,doubt%2C,yes,1001
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,8,on,eat,yes,1301
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,9,her,map,yes,829
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,10,lunch,chose,yes,851
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,11,break,least,yes,514
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,12,in,lot,yes,568
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,13,the,sun,yes,406
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,14,park,born,yes,566
1674525696,d51f078e27de297720f590b92a718699,SubHtmlFlash,burnin_1,NULL,15,by,am,yes,915
