#,Subject,0,Item,0,Condition,0,Word,#,#,#,#,RT,#,#
,,,,,,,,,,,,,,
# Results on Tue,08 Apr 2025 15:18:43 GMT,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML,like Gecko) Chrome/134.0.0.0 Safari/537.36,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# Design number was non-random = 12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# Columns below this comment are as follows:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 1. Results reception time.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 2. MD5 hash of participant's IP address.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 3. Controller name.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 4. Order number of item.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 5. Inner element number.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 6. Label.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 7. Latin Square Group.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 8. Field name.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# 9. Field value.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,4,0,consent,NULL,consentfield,igaz,,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,6,0,intro1,NULL,age,20,,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,6,0,intro1,NULL,natlang,magyar,,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,6,0,intro1,NULL,childhoodcountry,Magyarorsz‡g,,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,6,0,intro1,NULL,currentcountry,"Magyarorsz‡g, 20 Žve",,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,6,0,intro1,NULL,parentlang,"magyar, mindkŽt szŸl_",,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,6,0,intro1,NULL,domlang,magyar,,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,6,0,intro1,NULL,otherlang,"angol, nŽmet",,,,,,
,,,,,,,,,,,,,,
1744125523,361709ad622a5348855c12e4d9aacb4a,Form,6,0,intro1,NULL,gender,female,,,,,,
,,,,,,,,,,,,,,
