"Dataset","RemoveNoComparator","Multiplier","EligibleRTs","NoOtherItemComparator","ParticipantAndItemRatio","ParticipantOnlyRatio","CutoffRemoved","TotalRemoved","FinalRTs","Lambda","OverallStatus","ParticipantDeletion","ItemDeletion","LambdaTwoDecimals","PolicyShiftSE","PolicySignChanges"
"fujita2024memoryEx1",TRUE,1.5,205092,1293,390,0,6,1689,203403,-0.15,"REVIEW","PASS","REVIEW","-0.15",,
"fujita2024memoryEx1",FALSE,1.5,205092,0,389,0,6,395,204697,-0.15,"REVIEW","PASS","REVIEW","-0.15",2.135,0
"fujita2024memoryEx2",TRUE,1.5,204477,1323,431,0,20,1774,202703,-0.15,"REVIEW","PASS","REVIEW","-0.15",,
"fujita2024memoryEx2",FALSE,1.5,204477,0,431,0,20,451,204026,-0.15,"REVIEW","PASS","REVIEW","-0.15",1.767,0
"fujita2025lmaze",TRUE,1.5,17094,148,106,0,0,254,16840,-0.55,"REVIEW","REVIEW","REVIEW","-0.55",,
"fujita2025lmaze",FALSE,1.5,17094,0,106,0,0,106,16988,-0.55,"REVIEW","REVIEW","REVIEW","-0.55",1.495,0
"fujita2026ex1",TRUE,1.5,75453,1322,287,0,0,1609,73844,-0.2,"REVIEW","PASS","REVIEW","-0.20",,
"fujita2026ex1",FALSE,1.5,75453,0,287,0,0,287,75166,-0.2,"REVIEW","PASS","REVIEW","-0.20",2.322,0
"fujita2026ex2",TRUE,1.5,30685,202,85,0,0,287,30398,-0.0499999999999998,"REVIEW","REVIEW","REVIEW","-0.05",,
"fujita2026ex2",FALSE,1.5,30685,0,85,0,0,85,30600,-0.0499999999999998,"REVIEW","REVIEW","REVIEW","-0.05",0.409,1
"fujita2026ex3",TRUE,1.5,39365,847,214,0,3,1064,38301,-0.15,"REVIEW","PASS","REVIEW","-0.15",,
"fujita2026ex3",FALSE,1.5,39365,0,214,0,3,217,39148,-0.2,"REVIEW","PASS","REVIEW","-0.20",0.342,0
"fujitayoshida2024ex1",TRUE,1.5,36274,910,196,0,3,1109,35165,0.1,"REVIEW","PASS","REVIEW","0.10",,
"fujitayoshida2024ex1",FALSE,1.5,36274,0,195,0,3,198,36076,0.1,"REVIEW","PASS","REVIEW","0.10",4.062,0
"fujitayoshida2024ex2",TRUE,1.5,60033,827,226,0,6,1059,58974,0,"REVIEW","PASS","REVIEW","0.00",,
"fujitayoshida2024ex2",FALSE,1.5,60033,0,224,0,6,230,59803,0,"REVIEW","PASS","REVIEW","0.00",0.29,0
"fujitayoshida2024ex3",TRUE,1.5,30249,484,164,0,2,650,29599,0.0500000000000003,"REVIEW","PASS","REVIEW","0.05",,
"fujitayoshida2024ex3",FALSE,1.5,30249,0,164,0,2,166,30083,0.0500000000000003,"REVIEW","PASS","REVIEW","0.05",0.2,1
"fujitayoshida2024ex4",TRUE,1.5,30057,503,202,0,3,708,29349,0,"REVIEW","PASS","REVIEW","0.00",,
"fujitayoshida2024ex4",FALSE,1.5,30057,0,202,0,3,205,29852,0,"REVIEW","PASS","REVIEW","0.00",0.349,0
"hao2025exp1b",TRUE,1.5,31499,203,270,0,3,476,31023,-0.0499999999999998,"REVIEW","PASS","REVIEW","-0.05",,
"hao2025exp1b",FALSE,1.5,31499,0,270,0,3,273,31226,-0.0499999999999998,"REVIEW","PASS","REVIEW","-0.05",0.043,0
"hao2025exp2b",TRUE,1.5,58967,422,356,0,9,787,58180,-0.0499999999999998,"REVIEW","PASS","REVIEW","-0.05",,
"hao2025exp2b",FALSE,1.5,58967,0,356,0,11,367,58600,0.0500000000000003,"REVIEW","PASS","REVIEW","0.05",0.774,0
"hoeks2023exp1",TRUE,1.5,40875,155,249,16,1,421,40454,0.1,"REVIEW","REVIEW","REVIEW","0.10",,
"hoeks2023exp1",FALSE,1.5,40875,0,248,16,1,265,40610,0.1,"REVIEW","REVIEW","REVIEW","0.10",3.77,0
"hoeks2023exp2",TRUE,1.5,44643,157,307,0,2,466,44177,-0.3,"REVIEW","REVIEW","REVIEW","-0.30",,
"hoeks2023exp2",FALSE,1.5,44643,0,304,0,2,306,44337,-0.3,"REVIEW","REVIEW","PASS","-0.30",2.108,0
"hoeks2023exp3",TRUE,1.5,38551,319,274,0,0,593,37958,-0.0499999999999998,"REVIEW","REVIEW","REVIEW","-0.05",,
"hoeks2023exp3",FALSE,1.5,38551,0,272,0,0,272,38279,-0.0499999999999998,"REVIEW","REVIEW","REVIEW","-0.05",2.254,0
"hoeks2023exp4",TRUE,1.5,72084,793,395,0,0,1188,70896,-0.25,"REVIEW","REVIEW","REVIEW","-0.25",,
"hoeks2023exp4",FALSE,1.5,72084,0,394,0,0,394,71690,-0.25,"REVIEW","REVIEW","REVIEW","-0.25",2.627,1
"orth2025",TRUE,1.5,31033,136,341,3,0,480,30553,0.15,"REVIEW","PASS","REVIEW","0.15",,
"orth2025",FALSE,1.5,31033,0,338,3,0,341,30692,0.15,"REVIEW","PASS","REVIEW","0.15",0.215,2
"orth2026amaze",TRUE,1.5,17046,3,233,0,7,243,16803,-0.0999999999999996,"REVIEW","REVIEW","PASS","-0.10",,
"orth2026amaze",FALSE,1.5,17046,0,233,0,7,240,16806,-0.0999999999999996,"REVIEW","REVIEW","PASS","-0.10",0.041,0
"orth2026lmaze",TRUE,1.5,18091,0,151,10,0,161,17930,-0.15,"PASS","PASS","PASS","-0.15",,
"orth2026lmaze",FALSE,1.5,18091,0,151,10,0,161,17930,-0.15,"PASS","PASS","PASS","-0.15",0,0
