"Dataset","PrimaryNoComparatorRemoved","RetentionNoComparatorRemoved","PrimaryParticipantAndItemRemoved","RetentionParticipantAndItemRemoved","PrimaryParticipantOnlyRemoved","RetentionParticipantOnlyRemoved","PrimaryCutoffRemoved","RetentionCutoffRemoved","PrimaryMultiplier","RetentionMultiplier","PrimaryFinalRTs","RetentionFinalRTs","FinalRTDifference","PrimaryLambda","RetentionLambda","LambdaDifference","PrimaryDiagnosticStatus","RetentionDiagnosticStatus","PrimaryParticipantDeletionStatus","RetentionParticipantDeletionStatus","PrimaryItemDeletionStatus","RetentionItemDeletionStatus","MaximumCleanModelCoefficientShiftMs","MaximumCleanModelStandardizedShift","CleanModelCoefficientSignChanges"
"fujita2024memoryEx1",1293,0,390,389,0,0,6,6,1.5,1.5,203403,204697,1294,-0.15,-0.15,0,"REVIEW","REVIEW","PASS","PASS","REVIEW","REVIEW",14.6622079114629,2.13475177877786,0
"fujita2024memoryEx2",1323,0,431,431,0,0,20,20,1.5,1.5,202703,204026,1323,-0.15,-0.15,0,"REVIEW","REVIEW","PASS","PASS","REVIEW","REVIEW",12.7568529123969,1.76739243644922,0
"fujita2025lmaze",148,0,106,106,0,0,0,0,1.5,1.5,16840,16988,148,-0.55,-0.55,0,"REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW",38.6657704277223,1.49484130151506,0
"fujita2026ex1",1322,0,287,287,0,0,0,0,1.5,1.5,73844,75166,1322,-0.2,-0.2,0,"REVIEW","REVIEW","PASS","PASS","REVIEW","REVIEW",30.3567222339707,2.32152010375434,0
"fujita2026ex2",202,0,85,85,0,0,0,0,1.5,1.5,30398,30600,202,-0.0499999999999998,-0.0499999999999998,0,"REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW",5.73521161409354,0.409299198990678,1
"fujita2026ex3",847,0,214,214,0,0,3,3,1.5,1.5,38301,39148,847,-0.15,-0.2,-0.0499999999999998,"REVIEW","REVIEW","PASS","PASS","REVIEW","REVIEW",7.01746271748118,0.34223813032354,0
"fujitayoshida2024ex1",910,0,196,195,0,0,3,3,1.5,1.5,35165,36076,911,0.1,0.1,0,"REVIEW","REVIEW","PASS","PASS","REVIEW","REVIEW",97.8312432145709,4.06205675321551,0
"fujitayoshida2024ex2",827,0,226,224,0,0,6,6,1.5,1.5,58974,59803,829,0,0,0,"REVIEW","REVIEW","PASS","PASS","REVIEW","REVIEW",2.2045097421266,0.289873899963585,0
"fujitayoshida2024ex3",484,0,164,164,0,0,2,2,1.5,1.5,29599,30083,484,0.0500000000000003,0.0500000000000003,0,"REVIEW","REVIEW","PASS","PASS","REVIEW","REVIEW",1.87638494796199,0.199931246830904,1
"fujitayoshida2024ex4",503,0,202,202,0,0,3,3,1.5,1.5,29349,29852,503,0,0,0,"REVIEW","REVIEW","PASS","PASS","REVIEW","REVIEW",3.72101222976764,0.349311177729209,0
"hao2025exp1b",203,0,270,270,0,0,3,3,1.5,1.5,31023,31226,203,-0.0499999999999998,-0.0499999999999998,0,"REVIEW","REVIEW","PASS","PASS","REVIEW","REVIEW",0.863334815804848,0.0428551875656425,0
"hao2025exp2b",422,0,356,356,0,0,9,11,1.5,1.5,58180,58600,420,-0.0499999999999998,0.0500000000000003,0.1,"REVIEW","REVIEW","PASS","PASS","REVIEW","REVIEW",12.9732180101589,0.77442555670029,0
"hoeks2023exp1",155,0,249,248,16,16,1,1,1.5,1.5,40454,40610,156,0.1,0.1,0,"REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW",92.1837701585791,3.76995440859173,0
"hoeks2023exp2",157,0,307,304,0,0,2,2,1.5,1.5,44177,44337,160,-0.3,-0.3,0,"REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","PASS",56.517895149028,2.10843139342715,0
"hoeks2023exp3",319,0,274,272,0,0,0,0,1.5,1.5,37958,38279,321,-0.0499999999999998,-0.0499999999999998,0,"REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW",91.6789471823242,2.25382203321097,0
"hoeks2023exp4",793,0,395,394,0,0,0,0,1.5,1.5,70896,71690,794,-0.25,-0.25,0,"REVIEW","REVIEW","REVIEW","REVIEW","REVIEW","REVIEW",74.6493642320261,2.62724922605396,1
"orth2025",136,0,341,338,3,3,0,0,1.5,1.5,30553,30692,139,0.15,0.15,0,"REVIEW","REVIEW","PASS","PASS","REVIEW","REVIEW",1.83909722785114,0.21493682396904,2
"orth2026amaze",3,0,233,233,0,0,7,7,1.5,1.5,16803,16806,3,-0.0999999999999996,-0.0999999999999996,0,"REVIEW","REVIEW","REVIEW","REVIEW","PASS","PASS",1.01496050604248,0.0412742974730779,0
"orth2026lmaze",0,0,151,151,10,10,0,0,1.5,1.5,17930,17930,0,-0.15,-0.15,0,"PASS","PASS","PASS","PASS","PASS","PASS",0,0,0
